"o","d","all","bicycle","foot","car_driver","train"
"E02002985","E02002985",209,5,127,59,0
"E02002985","E02002987",121,7,35,62,0
"E02002985","E02003036",32,2,1,10,1
"E02002985","E02003043",141,1,2,56,17
"E02002985","E02003049",56,2,4,36,0
"E02002985","E02003054",42,4,0,21,0
"E02002985","E02003100",22,0,0,19,3
"E02002985","E02003106",48,3,1,33,8
"E02002985","E02003108",31,0,0,29,1
"E02002985","E02003121",42,1,2,34,0
"E02002985","E02006887",103,5,1,36,13
"E02002985","E02006889",21,0,0,19,0
"E02002987","E02002985",128,2,52,62,0
"E02002987","E02002987",166,8,61,89,2
"E02002987","E02003036",21,0,0,6,3
"E02002987","E02003043",163,9,1,65,17
"E02002987","E02003046",24,0,3,18,0
"E02002987","E02003049",44,1,0,36,0
"E02002987","E02003054",39,1,0,34,1
"E02002987","E02003100",20,0,0,19,0
"E02002987","E02003106",84,2,0,68,9
"E02002987","E02003108",25,2,0,22,0
"E02002987","E02003117",24,1,0,19,0
"E02002987","E02003121",27,0,0,25,0
"E02002987","E02006887",109,7,0,37,26
"E02002987","E02006889",24,1,0,23,0
"E02003005","E02003005",383,8,87,256,1
"E02003005","E02003036",23,1,0,17,0
"E02003005","E02003037",22,3,0,19,0
"E02003005","E02003043",200,4,3,161,1
"E02003005","E02003057",30,1,0,27,0
"E02003005","E02003106",31,0,0,28,1
"E02003005","E02006887",97,2,1,85,5
"E02003012","E02003012",315,5,181,102,0
"E02003012","E02003013",98,6,18,55,0
"E02003012","E02003014",147,11,1,113,0
"E02003012","E02003015",186,7,7,126,0
"E02003012","E02003017",132,7,21,75,1
"E02003012","E02003019",168,10,4,130,0
"E02003012","E02003020",83,1,15,51,0
"E02003012","E02003022",32,1,1,20,0
"E02003012","E02003024",23,1,0,18,0
"E02003012","E02003025",32,3,0,24,0
"E02003012","E02003026",47,3,2,34,0
"E02003012","E02003027",42,1,1,33,0
"E02003012","E02003028",42,1,3,21,0
"E02003012","E02003033",41,4,0,29,0
"E02003012","E02003034",49,0,0,40,0
"E02003012","E02003036",63,1,0,38,0
"E02003012","E02003037",60,6,3,28,0
"E02003012","E02003041",55,2,1,36,0
"E02003012","E02003043",368,21,18,185,2
"E02003012","E02003047",26,0,0,21,0
"E02003012","E02003050",32,0,2,20,0
"E02003012","E02003052",21,2,0,18,0
"E02003012","E02003059",22,0,1,17,0
"E02003012","E02003068",26,2,1,19,0
"E02003012","E02003070",25,0,0,20,0
"E02003012","E02003091",22,1,0,21,0
"E02003012","E02003092",29,1,0,24,1
"E02003012","E02003093",23,0,1,19,0
"E02003012","E02003094",397,23,25,236,0
"E02003012","E02003098",61,4,4,40,0
"E02003012","E02003100",137,7,2,104,0
"E02003012","E02003106",150,14,2,119,0
