station_european_code,station_local_code,country_iso_code,country_name,station_name,station_start_date,station_end_date,type_of_station,station_ozone_classification,station_type_of_area,station_subcat_rural_back,street_type,station_longitude_deg,station_latitude_deg,station_altitude,station_city,lau_level1_code,lau_level2_code,lau_level2_name,EMEP_station,NO2
DENI063,DENI063,DE,Germany,Altes Land,1999-02-11,,Background,rural,rural,unknown,,9.685031,53.524181,3,,,3359028,Jork,no,13.10280590444669
DEBY109,DEBY109,DE,Germany,Andechs/Rothenfeld,2003-04-17,,Background,rural,rural,regional,,11.220172,47.968754,700,,,9188117,Andechs,no,7.135128196791652
DEBE056,DEBE056,DE,Germany,B Friedrichshagen,1994-02-01,,Background,rural,rural,near city,,13.64705,52.447697,35,,,11000000,"Berlin, Stadt",no,12.7990107440876
DEBE062,DEBE062,DE,Germany,"B Frohnau, Funkturm (3.5 m)",1996-02-01,,Background,rural,rural,near city,,13.296081,52.653269,50,BERLIN,,11000000,"Berlin, Stadt",no,11.830893889864175
DEBE032,DEBE032,DE,Germany,B Grunewald (3.5 m),1986-10-01,,Background,rural,rural,near city,,13.225144,52.473192,50,BERLIN,,11000000,"Berlin, Stadt",no,11.980110277555427
DEHE046,DEHE046,DE,Germany,Bad Arolsen,1999-05-11,,Background,rural,rural,unknown,,8.928172,51.430901,343,BAD AROLSEN/KOHLGRUND,,6635002,"Bad Arolsen, Stadt",no,8.935610662702798
DEBY122,DEBY122,DE,Germany,Bad Hindelang/Oberjoch,2010-06-21,,Background,rural,rural,regional,,10.404233,47.518013,1169,,,9780123,"Bad Hindelang, M",no,7.020689619637259
DESL019,DESL019,DE,Germany,Biringen,2003-02-01,,Background,rural,rural,regional,,6.552036,49.416885,339,,,10044114,Rehlingen-Siersburg,no,9.226796157053245
DENW081,DENW081,DE,Germany,Borken-Gemen,1998-09-11,,Background,rural,rural,near city,,6.874553,51.862,45,BORKEN,,5554012,"Borken, Stadt",no,18.70002344794623
DESH008,DESH008,DE,Germany,Bornhöved,1988-11-08,,Background,rural,rural,regional,,10.240596,54.09323,45,,10575785,,Ruhwinkel,no,9.159836327480242
DESN093,DESN093,DE,Germany,Brockau,2011-01-01,,Background,rural,rural,regional,,12.211111,50.608135,430,,145235120,,"Netzschkau, Stadt",no,8.54799427254379
DEST039,DEST039,DE,Germany,Brocken,1993-01-28,,Background,rural background,rural,remote,,10.618275,51.798626,1142,SCHIERKE,,,,no,3.5893264081276546
DEHE039,DEHE039,DE,Germany,Burg Herzberg (Grebenau),1983-05-01,,Background,rural,rural,unknown,,9.459403,50.770382,491,HERZBERG,,6632004,Breitenbach a. Herzberg,no,8.400254268233276
DEBY124,DEBY124,DE,Germany,Burgbernheim/Am Hessinggraben,2012-01-01,,Background,rural,rural,regional,,10.316582,49.444516,384,,,,,no,12.012725102002506
DESN076,DESN076,DE,Germany,Collmberg,1998-10-01,,Background,rural background,rural,remote,,13.009405,51.303772,313,COLLM,,14730330,Wermsdorf,no,8.636825016306878
DEST104,DEST104,DE,Germany,Domäne Bobbe,2009-12-17,,Background,rural,rural,unknown,,11.891525,51.83728,71,,,15082256,Osternienburger Land,no,9.354437456798943
DETH026,DETH026,DE,Germany,Dreißigacker,1991-07-01,,Background,rural,rural,regional,,10.3753,50.561752,450,DREIßIGACKER,160665050,,"Meiningen, Stadt",no,8.995248039863394
DEBW004,DEBW004,DE,Germany,Eggenstein,1976-09-01,,Background,rural,rural,near city,Unknown,8.40666,49.07655,109,,,8215102,Eggenstein-Leopoldshafen,no,20.493843279960355
DENI059,DENI059,DE,Germany,Elbmündung,1998-03-20,,Background,rural,rural,unknown,,8.80122,53.83017,3,,,3352011,"Cuxhaven, Stadt",no,11.104789649054135
DEUB046,DEUB046,DE,Germany,Forellenbach,2000-01-01,,Background,rural background,rural,remote,,13.420573,48.947611,858,,92729444,,Gdefr. Geb. (Lkr Freyung-Grafenau),no,4.333945989382777
DEHE028,DEHE028,DE,Germany,Fürth/Odenwald,1986-10-01,,Background,rural,rural,unknown,,8.81725,49.653465,484,FÜRTH/ODENWALD,,6431007,Fürth,no,8.120225166556141
DEMV026,DEMV026,DE,Germany,Garz,2013-01-01,,Background,rural,rural,unknown,,13.342138,54.323514,17,,,,,no,4.383776623560161
DETH040,DETH040,DE,Germany,Großer Eisenberg,1994-12-04,,Background,rural background,rural,remote,Wide street: L/H > 1.5,10.787137,50.619179,907,EISENACH,160705008,,Schmiedefeld am Rennsteig,no,4.390458645846876
DEMV017,DEMV017,DE,Germany,Göhlen,1998-02-01,,Background,rural,rural,unknown,,11.362965,53.302353,25,GÖHLEN,130545416,,Göhlen,no,6.004551736946301
DEMV004,DEMV004,DE,Germany,Gülzow,1992-01-01,,Background,rural,rural,unknown,,12.064709,53.817772,17,,130535313,,Gülzow-Prüzen,no,6.843800975142158
DEBB053,DEBB053,DE,Germany,Hasenholz,2000-11-21,,Background,rural,rural,regional,,14.015253,52.563835,88,BUCKOW,120645408,,"Buckow (Märkische Schweiz), Stadt",no,9.110279139763184
DETH061,DETH061,DE,Germany,Hummelshain,1999-10-07,,Background,rural background,rural,remote,,11.661233,50.791618,357,,160745007,,Trockenborn-Wolfersdorf,no,5.704372785485123
DERP014,DERP014,DE,Germany,Hunsrück-Leisel,1984-01-01,,Background,rural,rural,unknown,,7.193486,49.741035,650,LEISEL,71345002,,Siesbach,no,5.223882314791547
DENI031,DENI031,DE,Germany,Jadebusen,1984-06-01,,Background,rural,rural,unknown,,8.09059,53.59617,2,,,3405000,"Wilhelmshaven, Stadt",no,10.450504669281006
DEHE060,DEHE060,DE,Germany,Kellerwald,2005-10-09,,Background,rural,rural,regional,,9.031753,51.154842,483,,,6635009,Edertal,no,6.500547300478271
DEHE052,DEHE052,DE,Germany,Kleiner Feldberg,1992-03-12,,Background,rural,rural,unknown,,8.446078,50.221943,811,,,6434003,Glashütten,no,6.913817430801052
DEBY004,DEBY004,DE,Germany,Kleinwallstadt/Hofstetter Straße,1978-08-01,,Background,suburban,rural,near city,,9.171545,49.869419,124,KLEINWALLSTADT,96765630,,"Kleinwallstadt, M",no,17.107523426602675
DEMV024,DEMV024,DE,Germany,Leizen,2010-06-16,,Background,rural,rural,unknown,,12.463929,53.396348,116,,130565621,,Leizen,no,6.520525826751615
DEHE042,DEHE042,DE,Germany,Linden/Leihgestern,1995-04-05,,Background,rural,rural,unknown,,8.684398,50.532963,172,,,6531012,"Linden, Stadt",no,17.19400233075487
DEMV012,DEMV012,DE,Germany,Löcknitz,1994-01-15,,Background,rural,rural,unknown,,14.257408,53.520458,17,MEWEGEN,130625212,,Rothenklempenow,no,6.572471710102648
DEBB065,DEBB065,DE,Germany,Lütte (Belzig),2003-02-14,,Background,rural,rural,regional,,12.561389,52.194225,111,,,,,no,6.5688081305907895
DEBY013,DEBY013,DE,Germany,Mehring/Sportplatz,1977-03-01,,Background,rural,rural,regional,,12.781385,48.182835,415,MEHRING,91715101,,Mehring,no,14.525675711369342
DENW065,DENW065,DE,Germany,Netphen (Rothaargebirge),1985-12-01,,Background,rural,rural,regional,,8.191934,50.930328,635,,,5970032,"Netphen, Stadt",no,5.5828906369949856
DENW066,DENW066,DE,Germany,Nettetal-Kaldenkirchen,1987-12-01,,Background,rural,rural,near city,,6.195867,51.326939,49,NETTETAL,,5166016,"Nettetal, Stadt",no,19.60067672326852
DEUB030,DEUB030,DE,Germany,Neuglobsow,1991-11-01,,Background,rural,rural,regional,,13.031661,53.141304,65,NEUGLOBSOW,120655502,,Stechlin,yes,4.248033122879065
DETH027,DETH027,DE,Germany,Neuhaus,1991-08-12,,Background,rural background,rural,remote,Unknown,11.134591,50.499954,840,,160725051,,"Neuhaus am Rennweg, Stadt",no,5.4560661043846945
DEBY049,DEBY049,DE,Germany,Neustadt a.d. Donau/Eining,1977-03-01,,Background,rural,rural,regional,,11.777817,48.85321,359,NEUSTADT A.D.DONAU,,9273152,"Neustadt a.d.Donau, St",no,11.463016348388106
DESN079,DESN079,DE,Germany,Niesky,2003-05-05,,Background,rural,rural,regional,,14.749731,51.285355,148,,146265502,,Quitzdorf am See,no,8.341097323821916
DENI058,DENI058,DE,Germany,Ostfries. Inseln,1996-02-01,,Background,rural,rural,unknown,,7.21398,53.715302,5,,,3452020,"Norderney, Stadt",no,8.455727814497608
DERP017,DERP017,DE,Germany,Pfälzerwald-Hortenkopf,1986-01-01,,Background,rural,rural,unknown,,7.826522,49.270264,606,HORTENKOPF,73405004,,Merzalben,no,4.996870112175138
DETH042,DETH042,DE,Germany,Possen,1996-01-12,,Background,rural background,rural,remote,,10.867189,51.33308,420,POSSEN,,16065067,"Sondershausen, Stadt",no,5.731506017470791
DESN051,DESN051,DE,Germany,Radebeul-Wahnsdorf,1967-12-01,,Background,rural,rural,near city,Unknown,13.675006,51.119511,246,RADEBEUL,,14627210,"Radebeul, Stadt",no,12.431592385265933
DEHE043,DEHE043,DE,Germany,Riedstadt,1996-03-20,,Background,rural,rural,near city,,8.516797,49.825165,87,RIEDSTADT,,6433011,"Riedstadt, Stadt",no,16.680100143239645
DEUB004,DEUB004,DE,Germany,Schauinsland,1968-01-01,,Background,rural,rural,regional,,7.908036,47.913254,1205,OBERRIED-HOFSGRUND,83155003,,Oberried,yes,2.069317908430549
